epoch,train_loss,train_acc,val_loss,val_acc
0,1.694133773446083,0.4785,0.7755739241838455,0.86
1,1.2791930623352528,0.69125,0.5346155390143394,0.928
2,1.1552558150142431,0.74275,0.4888441190123558,0.953
3,1.1288789343088865,0.752,0.43654779717326164,0.96
4,1.0645884536206722,0.75925,0.37105630338191986,0.958
5,1.0510086845606565,0.7635,0.3806683197617531,0.962
6,1.02048022672534,0.76925,0.34939052164554596,0.961
7,1.0070704985409975,0.7665,0.37758181244134903,0.958
8,0.9905346604064107,0.7725,0.4266497939825058,0.95
9,0.9526002034544945,0.77425,0.4009625278413296,0.954
10,0.9215495232492685,0.7815,0.40090201422572136,0.954
11,0.8811847362667322,0.78275,0.36342114582657814,0.95
12,0.8543686345219612,0.7845,0.4210796505212784,0.934
13,0.8481703419238329,0.78575,0.42032309621572495,0.927
14,0.8136298768222332,0.7855,0.39165814965963364,0.933
15,0.7560746902599931,0.8,0.4125713035464287,0.921
16,0.715435853227973,0.80975,0.38031239062547684,0.924
17,0.7557778311893344,0.79575,0.3837983198463917,0.921
18,0.6677627321332693,0.81025,0.4003322497010231,0.903
19,0.6267823511734605,0.82025,0.4356035478413105,0.901
20,0.6187798334285617,0.821,0.4608694203197956,0.884
21,0.5813046125695109,0.8235,0.44510795921087265,0.892
22,0.526849496178329,0.83875,0.5198250785470009,0.882
23,0.5367357702925801,0.84075,0.5186019092798233,0.869
24,0.4754323856905103,0.851,0.5173961073160172,0.869
25,0.44506884925067425,0.86025,0.5482740513980389,0.859
26,0.44162319507449865,0.8655,0.6649825423955917,0.827
27,0.42234648019075394,0.87325,0.5595626309514046,0.853
28,0.38653023075312376,0.8825,0.6082437336444855,0.85
29,0.3465829254128039,0.89075,0.6366634257137775,0.843
